symbol,LFC,FDR,ID
Gnai3,-0.109718158,0.788262154,ENSMUSG00000000001
Cdc45,0.219916065,0.815191315,ENSMUSG00000000028
H19,-0.370237726,0.577982519,ENSMUSG00000000031
Scml2,4.393633743,5.99E-06,ENSMUSG00000000037
Apoh,0.805636726,0.200493973,ENSMUSG00000000049
Narf,-0.631594792,0.3793815,ENSMUSG00000000056
Cav2,-0.596246292,0.331883806,ENSMUSG00000000058
Klf6,0.171279433,0.853741165,ENSMUSG00000000078
Scmh1,0.537996009,0.44167562,ENSMUSG00000000085
Cox5a,0.18126619,0.65718397,ENSMUSG00000000088
Tbx2,-0.123418129,0.9027175,ENSMUSG00000000093
Tbx4,1.376025283,0.419129231,ENSMUSG00000000094
Ngfr,1.988263287,0.001577808,ENSMUSG00000000120
Wnt3,0.29798597,0.99187553,ENSMUSG00000000125
Wnt9a,0.192766351,0.846571478,ENSMUSG00000000126
Fer,0.426151251,0.558690942,ENSMUSG00000000127
Xpo6,-0.071209663,0.878731865,ENSMUSG00000000131
Tfe3,-0.050526659,0.952841372,ENSMUSG00000000134
Axin2,0.651814393,0.364955011,ENSMUSG00000000142
Brat1,-0.314518113,0.685344053,ENSMUSG00000000148
Gna12,0.53588463,0.393210469,ENSMUSG00000000149
Slc22a18,-1.79591933,0.028109751,ENSMUSG00000000154
Itgb2l,-0.087788193,1,ENSMUSG00000000157
Igsf5,0.019969509,1,ENSMUSG00000000159
Pih1d2,0.258859456,0.81267744,ENSMUSG00000000167
Dlat,0.566178973,0.397932127,ENSMUSG00000000168
Sdhd,-0.077368629,0.936384648,ENSMUSG00000000171
Fgf23,-0.218843395,1,ENSMUSG00000000182
Fgf6,-0.360070439,1,ENSMUSG00000000183
Ccnd2,0.876655739,0.231034807,ENSMUSG00000000184
Gpr107,0.430926932,0.311870503,ENSMUSG00000000194
Nalcn,0.536134517,0.478193994,ENSMUSG00000000197
Btbd17,-0.093923409,1,ENSMUSG00000000202
Th,6.761785046,9.12E-10,ENSMUSG00000000214
Ins2,-0.11907401,1,ENSMUSG00000000215
Drp2,6.16289143,5.09E-15,ENSMUSG00000000223
Lhx2,1.296763548,0.196315029,ENSMUSG00000000247
Gmpr,-0.466291859,0.595431542,ENSMUSG00000000253
Glra1,0.419636905,0.975193144,ENSMUSG00000000263
Mid2,-0.324443159,0.738966106,ENSMUSG00000000266
Trim25,-0.169656357,0.859922893,ENSMUSG00000000275
Dgke,-0.562636749,0.465110385,ENSMUSG00000000276
Scpep1,0.981254583,0.023880063,ENSMUSG00000000278
Mnt,0.52487371,0.498067195,ENSMUSG00000000282
Itgb2,0.253580852,0.323347549,ENSMUSG00000000290
Hddc2,0.119370471,0.97912467,ENSMUSG00000000295
Tpd52l1,-0.837164451,0.324203546,ENSMUSG00000000296
Pemt,-0.125421373,0.923155044,ENSMUSG00000000301
Cdh1,-1.245336628,0.047901058,ENSMUSG00000000303
Cdh4,-0.4516815,0.577673266,ENSMUSG00000000305
Ckmt1,2.530404193,6.39E-06,ENSMUSG00000000308
Bcl6b,-5.666296208,8.05E-09,ENSMUSG00000000317
Clec10a,-0.972041548,0.178723297,ENSMUSG00000000318
NA,0.329175243,0.71711654,ENSMUSG00000000325
Comt,-0.214978391,0.618342357,ENSMUSG00000000326
Rtca,-0.631644176,0.28442496,ENSMUSG00000000339
Dbt,-1.088472368,0.085768541,ENSMUSG00000000340
Dazap2,-0.15601437,0.689573154,ENSMUSG00000000346
Mcts1,0.119262778,0.893162412,ENSMUSG00000000355
Rem1,-0.183044856,0.880078864,ENSMUSG00000000359
Rnf17,-0.027306287,1,ENSMUSG00000000365
Trappc10,1.410132112,0.021629712,ENSMUSG00000000374
Ccm2,0.105264474,0.913294013,ENSMUSG00000000378
Tbrg4,0.521621268,0.471531496,ENSMUSG00000000384
Mx1,0.156421462,1,ENSMUSG00000000386
Fap,1.371343329,0.123614473,ENSMUSG00000000392
Gcg,0.240148133,0.041538694,ENSMUSG00000000394
Ndufa9,-0.25699169,0.554037965,ENSMUSG00000000399
Egfl6,-0.610549867,0.651197067,ENSMUSG00000000402
Lck,1.835742779,0.00318246,ENSMUSG00000000409
Cttnbp2,0.719331999,0.388093843,ENSMUSG00000000416
Galnt1,-0.33773994,0.635415691,ENSMUSG00000000420
Myf5,-0.037532975,1,ENSMUSG00000000435
Mkrn2,-0.028493363,1,ENSMUSG00000000439
Pparg,0.951890619,0.218123834,ENSMUSG00000000440
Raf1,-0.125493042,0.792720533,ENSMUSG00000000441
Septin1,-0.028463614,1,ENSMUSG00000000486
Pdgfb,0.448575579,0.582535343,ENSMUSG00000000489
Acvrl1,-0.025244848,1,ENSMUSG00000000530
Tamalin,-0.446042194,0.08530087,ENSMUSG00000000531
Acvr1b,1.974553333,0.003868443,ENSMUSG00000000532
Tom1l2,-0.430208735,0.507131708,ENSMUSG00000000538
Zfp385a,0.560918936,0.495503351,ENSMUSG00000000552
Itga5,1.02326915,0.200144323,ENSMUSG00000000555
Gabra2,3.608151322,2.05E-08,ENSMUSG00000000560
Wdr77,-0.898389259,0.122583911,ENSMUSG00000000561
Atp5pb,0.051630346,0.957505559,ENSMUSG00000000563
Sox9,1.6440669,0.056017296,ENSMUSG00000000567
Hnrnpd,0.649264754,0.237808498,ENSMUSG00000000568
Dynlt1c,0.065394227,0.912417624,ENSMUSG00000000579
C1d,0.363116208,0.166226477,ENSMUSG00000000581
Gm2a,-0.333768853,0.511128647,ENSMUSG00000000594
Krit1,-0.292243591,0.590154459,ENSMUSG00000000600
Clcn4,-0.440468844,0.341216751,ENSMUSG00000000605
Grm6,0.373408114,0.967177875,ENSMUSG00000000617
Sema4f,2.170758702,0.000166931,ENSMUSG00000000627
Hk2,0.399102572,0.690890914,ENSMUSG00000000628
Myo18a,-0.40580251,0.461749771,ENSMUSG00000000631
Sez6,0.968529648,0.13697681,ENSMUSG00000000632
Haao,0.248331058,0.283440576,ENSMUSG00000000673
Cd52,-0.036101264,0.916573656,ENSMUSG00000000682
Abhd15,0.344769301,0.723721638,ENSMUSG00000000686
Hoxb6,0.788587514,0.28416925,ENSMUSG00000000690
Loxl3,0.404953933,0.46774975,ENSMUSG00000000693
Kat2b,0.302198,0.721688127,ENSMUSG00000000708
Rab5b,-0.477551523,0.305032013,ENSMUSG00000000711
Cryba1,-0.515706459,0.624260205,ENSMUSG00000000724
Dnmt3l,0.761208916,0.621523284,ENSMUSG00000000730
Aire,-0.033965263,1,ENSMUSG00000000731
Icosl,3.759234101,0.000360862,ENSMUSG00000000732
Spg7,1.07112264,0.126228322,ENSMUSG00000000738
Sult5a1,1.543562136,0.08424429,ENSMUSG00000000739
Rpl13,0.311346211,0.244942757,ENSMUSG00000000740
Chmp1a,-0.434170627,0.402215252,ENSMUSG00000000743
Rpa1,-0.347466053,0.714392684,ENSMUSG00000000751
Serpinf1,0.304867882,0.603598314,ENSMUSG00000000753
Tubgcp3,3.163272297,1.22E-08,ENSMUSG00000000759
Oprm1,4.320118958,1.27E-06,ENSMUSG00000000766
Polr3d,0.387342327,0.601262379,ENSMUSG00000000776
Tcf7,0.590203652,0.659107306,ENSMUSG00000000782
Ddx3x,-0.232142461,0.619701702,ENSMUSG00000000787
Il12rb1,-0.46437563,0.792188676,ENSMUSG00000000791
Slc5a5,-0.211235612,0.827895854,ENSMUSG00000000792
Kcnn3,-1.427439622,0.076635576,ENSMUSG00000000794
Usp32,1.792231784,0.000531228,ENSMUSG00000000804
Car4,0.049735219,0.63779598,ENSMUSG00000000805
Txnrd3,0.490605693,0.535937571,ENSMUSG00000000811
