symbol,LFC,FDR,ID
Gnai3,6.79E-06,1,ENSMUSG00000000001
Cdc45,-2.49E-07,1,ENSMUSG00000000028
H19,-1.16E-07,1,ENSMUSG00000000031
Scml2,6.24E-07,1,ENSMUSG00000000037
Apoh,-1.60E-06,1,ENSMUSG00000000049
Narf,5.33E-07,1,ENSMUSG00000000056
Cav2,2.64E-06,1,ENSMUSG00000000058
Klf6,5.51E-07,1,ENSMUSG00000000078
Scmh1,-1.02E-06,1,ENSMUSG00000000085
Cox5a,-2.24E-06,1,ENSMUSG00000000088
Tbx2,1.04E-06,1,ENSMUSG00000000093
Tbx4,2.58E-07,1,ENSMUSG00000000094
Ngfr,-8.52E-07,1,ENSMUSG00000000120
Wnt3,-3.72E-07,1,ENSMUSG00000000125
Wnt9a,1.59E-06,1,ENSMUSG00000000126
Fer,1.41E-06,1,ENSMUSG00000000127
Xpo6,8.52E-07,1,ENSMUSG00000000131
Tfe3,2.06E-07,1,ENSMUSG00000000134
Axin2,-9.18E-07,1,ENSMUSG00000000142
Brat1,4.40E-07,1,ENSMUSG00000000148
Gna12,1.91E-06,1,ENSMUSG00000000149
Slc22a18,1.59E-08,1,ENSMUSG00000000154
Itgb2l,-4.16E-07,1,ENSMUSG00000000157
Igsf5,-1.93E-08,1,ENSMUSG00000000159
Pih1d2,-4.04E-07,1,ENSMUSG00000000167
Dlat,4.66E-07,1,ENSMUSG00000000168
Sdhd,2.37E-06,1,ENSMUSG00000000171
Fgf23,-5.65E-07,1,ENSMUSG00000000182
Fgf6,-1.13E-06,1,ENSMUSG00000000183
Ccnd2,2.14E-06,0.880951093,ENSMUSG00000000184
Gpr107,-3.89E-07,1,ENSMUSG00000000194
Nalcn,1.34E-06,1,ENSMUSG00000000197
Btbd17,8.59E-07,1.45E-13,ENSMUSG00000000202
Th,1.72E-07,1,ENSMUSG00000000214
Ins2,6.27E-08,1,ENSMUSG00000000215
Drp2,-1.91E-06,1,ENSMUSG00000000223
Lhx2,-1.19E-07,1,ENSMUSG00000000247
Gmpr,-1.92E-06,1,ENSMUSG00000000253
Glra1,-4.38E-07,1,ENSMUSG00000000263
Mid2,1.34E-06,1,ENSMUSG00000000266
Trim25,2.53E-07,1,ENSMUSG00000000275
Dgke,-3.31E-07,1,ENSMUSG00000000276
Scpep1,0.948289775,0.108931749,ENSMUSG00000000278
Mnt,-5.64E-07,1,ENSMUSG00000000282
Itgb2,1.55E-07,1,ENSMUSG00000000290
Hddc2,-2.14E-07,1,ENSMUSG00000000295
Tpd52l1,-1.86E-06,0.760136498,ENSMUSG00000000296
Pemt,7.70E-07,1,ENSMUSG00000000301
Cdh1,1.92E-06,1,ENSMUSG00000000303
Cdh4,-4.73E-07,1,ENSMUSG00000000305
Ckmt1,-1.37E-06,1,ENSMUSG00000000308
Bcl6b,7.09E-07,1,ENSMUSG00000000317
Clec10a,-4.77E-07,1,ENSMUSG00000000318
NA,5.86E-07,1,ENSMUSG00000000325
Comt,-5.22E-06,1,ENSMUSG00000000326
Rtca,-2.02E-07,1,ENSMUSG00000000339
Dbt,1.47E-07,1,ENSMUSG00000000340
Dazap2,9.25E-06,1,ENSMUSG00000000346
Mcts1,4.98E-07,1,ENSMUSG00000000355
Rem1,1.52E-06,0.265628418,ENSMUSG00000000359
Rnf17,-1.52E-06,1,ENSMUSG00000000365
Trappc10,-1.40E-06,1,ENSMUSG00000000374
Ccm2,-1.16E-06,1,ENSMUSG00000000378
Tbrg4,-7.51E-07,1,ENSMUSG00000000384
Mx1,-1.87E-07,1,ENSMUSG00000000386
Fap,6.50E-07,1,ENSMUSG00000000392
Gcg,1.24E-07,1,ENSMUSG00000000394
Ndufa9,-3.00E-06,1,ENSMUSG00000000399
Egfl6,6.74E-07,1,ENSMUSG00000000402
Lck,2.22E-06,1,ENSMUSG00000000409
Cttnbp2,8.15E-07,1,ENSMUSG00000000416
Galnt1,1.44E-06,1,ENSMUSG00000000420
Myf5,1.72E-07,1,ENSMUSG00000000435
Mkrn2,2.89E-07,1,ENSMUSG00000000439
Pparg,6.35E-07,1,ENSMUSG00000000440
Raf1,9.84E-07,1,ENSMUSG00000000441
Septin1,-2.26E-06,1,ENSMUSG00000000486
Pdgfb,1.35E-06,1,ENSMUSG00000000489
Acvrl1,-3.47E-07,1,ENSMUSG00000000530
Tamalin,-2.47E-07,1,ENSMUSG00000000531
Acvr1b,-8.70E-07,1,ENSMUSG00000000532
Tom1l2,-4.06E-07,1,ENSMUSG00000000538
Zfp385a,-1.58E-06,1,ENSMUSG00000000552
Itga5,-3.27E-07,1,ENSMUSG00000000555
Gabra2,1.31E-06,1,ENSMUSG00000000560
Wdr77,1.03E-06,1,ENSMUSG00000000561
Atp5pb,5.39E-07,1,ENSMUSG00000000563
Sox9,2.16E-06,0.106220109,ENSMUSG00000000567
Hnrnpd,2.75E-06,1,ENSMUSG00000000568
Dynlt1c,6.21E-06,1,ENSMUSG00000000579
C1d,9.19E-06,1,ENSMUSG00000000581
Gm2a,1.54E-06,1,ENSMUSG00000000594
Krit1,3.30E-07,1,ENSMUSG00000000600
Clcn4,2.10E-06,1,ENSMUSG00000000605
Grm6,5.93E-07,1,ENSMUSG00000000617
Sema4f,-3.93E-07,1,ENSMUSG00000000627
Hk2,1.54E-06,1,ENSMUSG00000000628
Myo18a,-1.03E-06,1,ENSMUSG00000000631
Sez6,-1.97E-06,1,ENSMUSG00000000632
Haao,-2.20E-07,1,ENSMUSG00000000673
Cd52,3.25E-07,0.004415262,ENSMUSG00000000682
Abhd15,-2.45E-06,0.887356368,ENSMUSG00000000686
Hoxb6,-1.13E-06,1,ENSMUSG00000000690
Loxl3,2.17E-07,1,ENSMUSG00000000693
Kat2b,6.50E-08,1,ENSMUSG00000000708
Rab5b,1.68E-06,1,ENSMUSG00000000711
Cryba1,4.59E-08,1,ENSMUSG00000000724
Dnmt3l,1.15E-06,0.890973275,ENSMUSG00000000730
Aire,3.66E-07,1,ENSMUSG00000000731
Icosl,1.07E-06,1,ENSMUSG00000000732
Spg7,-6.38E-08,1,ENSMUSG00000000738
Sult5a1,-8.87E-07,1,ENSMUSG00000000739
Rpl13,-7.98E-06,1,ENSMUSG00000000740
Chmp1a,-3.85E-08,1,ENSMUSG00000000743
Rpa1,5.89E-07,1,ENSMUSG00000000751
Serpinf1,3.22E-07,1,ENSMUSG00000000753
Tubgcp3,-1.12E-06,1,ENSMUSG00000000759
Oprm1,-8.43E-07,1,ENSMUSG00000000766
Polr3d,-8.20E-08,1,ENSMUSG00000000776
Tcf7,-3.75E-07,1,ENSMUSG00000000782
Ddx3x,4.09E-06,1,ENSMUSG00000000787
Il12rb1,2.13E-06,0.920431057,ENSMUSG00000000791
Slc5a5,-4.11E-07,1,ENSMUSG00000000792
Kcnn3,-1.39E-07,1,ENSMUSG00000000794
Usp32,-3.59E-07,1,ENSMUSG00000000804
Car4,3.80E-07,1,ENSMUSG00000000805
Txnrd3,3.03E-07,1,ENSMUSG00000000811
Fasl,2.61E-07,1,ENSMUSG00000000817
Zfp512b,2.59E-06,1,ENSMUSG00000000823
Dnajc5,7.00E-07,1,ENSMUSG00000000826
Tpd52l2,7.07E-07,1,ENSMUSG00000000827
Fmr1,1.30E-06,1,ENSMUSG00000000838
Bcl11a,-1.13E-07,1,ENSMUSG00000000861
Il4,8.34E-07,1,ENSMUSG00000000869
Pxmp4,-2.99E-06,1,ENSMUSG00000000876
Dlg3,7.48E-07,1,ENSMUSG00000000881
Gnb1l,-1.07E-06,1,ENSMUSG00000000884
Dbh,9.83E-07,0.826602327,ENSMUSG00000000889
Mmp11,-2.64E-07,1,ENSMUSG00000000901
Smarcb1,-7.25E-07,1,ENSMUSG00000000902
Hip1r,2.98E-06,1,ENSMUSG00000000915
Nsun5,-1.25E-06,1,ENSMUSG00000000916
Top1mt,9.39E-07,1,ENSMUSG00000000934
Hoxa10,-3.85E-07,1,ENSMUSG00000000938
Hoxa4,3.74E-07,1,ENSMUSG00000000942
NA,8.62E-07,1,ENSMUSG00000000948
Mmp14,1.27E-06,1,ENSMUSG00000000957
Slc7a7,5.25E-07,1,ENSMUSG00000000958
Oxa1l,-4.59E-09,1,ENSMUSG00000000959
Heatr6,-1.05E-06,1,ENSMUSG00000000976
Ccl3,4.42E-07,1,ENSMUSG00000000982
Wfdc18,-5.79E-08,1,ENSMUSG00000000983
Icam4,-3.29E-07,1,ENSMUSG00000001014
Ilf2,2.72E-06,1,ENSMUSG00000001016
Chtop,3.15E-06,1,ENSMUSG00000001017
Snapin,7.74E-06,1,ENSMUSG00000001018
S100a4,1.40E-06,1,ENSMUSG00000001020
S100a3,1.50E-07,1,ENSMUSG00000001021
S100a5,8.82E-07,1,ENSMUSG00000001023
S100a6,-2.01E-06,1,ENSMUSG00000001025
Scn4a,-1.03E-06,1,ENSMUSG00000001027
Icam2,3.71E-07,1,ENSMUSG00000001029
Mapk7,-1.09E-06,1,ENSMUSG00000001034
Epn2,-8.62E-07,1,ENSMUSG00000001036
B9d1,3.97E-07,1,ENSMUSG00000001039
Sec24b,7.81E-07,1,ENSMUSG00000001052
N4bp3,-1.21E-06,0.88619963,ENSMUSG00000001053
Rmnd5b,1.06E-06,1,ENSMUSG00000001054
Nhp2,-3.58E-06,1,ENSMUSG00000001056
Vps9d1,-8.66E-07,1,ENSMUSG00000001062
Zfp276,-1.02E-06,1,ENSMUSG00000001065
C1ql4,2.13E-06,0.854565622,ENSMUSG00000001076
Mfsd10,-5.09E-07,1,ENSMUSG00000001082
Luzp1,-3.94E-06,1,ENSMUSG00000001089
Slc13a2,-1.03E-06,1,ENSMUSG00000001095
Kctd10,-5.01E-08,1,ENSMUSG00000001098
Poldip2,9.90E-07,1,ENSMUSG00000001100
Sebox,5.14E-07,1,ENSMUSG00000001103
Ift20,-4.34E-06,1,ENSMUSG00000001105
Col6a1,3.09E-07,1,ENSMUSG00000001119
Pcbp3,-1.19E-06,1,ENSMUSG00000001120
Lgals9,-3.47E-07,1,ENSMUSG00000001123
Araf,3.11E-06,1,ENSMUSG00000001127
Cfp,-2.51E-07,1,ENSMUSG00000001128
Timp1,8.44E-07,1,ENSMUSG00000001131
Uxt,-1.61E-06,1,ENSMUSG00000001134
Cnnm3,-4.19E-07,1,ENSMUSG00000001138
Lman2l,-7.28E-07,1,ENSMUSG00000001143
Mcm3ap,-1.11E-06,1,ENSMUSG00000001150
Pcnt,-7.89E-07,1,ENSMUSG00000001151
Ftcd,-5.69E-07,1,ENSMUSG00000001155
Mxd1,-1.78E-07,1,ENSMUSG00000001156
Gmcl1,1.96E-06,1,ENSMUSG00000001157
Snrnp27,1.18E-06,1,ENSMUSG00000001158
Oas1c,-4.33E-07,1,ENSMUSG00000001166
Oas1h,2.07E-07,1,ENSMUSG00000001168
Ocrl,2.33E-08,1,ENSMUSG00000001173
Calm1,-1.67E-05,0.875085259,ENSMUSG00000001175
Agpat3,-5.28E-07,1,ENSMUSG00000001211
Slc26a3,-1.24E-06,1,ENSMUSG00000001225
Sema6b,-9.38E-07,1,ENSMUSG00000001227
Uhrf1,-2.48E-06,0.538587279,ENSMUSG00000001228
Dpp9,-1.56E-06,1,ENSMUSG00000001229
Ramp2,3.27E-07,1,ENSMUSG00000001240
Lsr,8.49E-07,1,ENSMUSG00000001247
Gramd1a,-2.38E-07,1,ENSMUSG00000001248
Hpn,-5.39E-07,1,ENSMUSG00000001249
Gabrg1,7.80E-08,1,ENSMUSG00000001260
Ckb,-6.10E-06,1,ENSMUSG00000001270
Sp1,1.03E-06,1,ENSMUSG00000001280
Itgb7,1.04E-06,1,ENSMUSG00000001281
Myg1,-1.99E-06,1,ENSMUSG00000001285
Rarg,1.33E-07,1,ENSMUSG00000001288
Pfdn5,-7.44E-06,1,ENSMUSG00000001289
Efnb2,1.50E-06,1,ENSMUSG00000001300
Rrp15,4.76E-07,1,ENSMUSG00000001305
Rnd2,-9.91E-07,1,ENSMUSG00000001313
Srr,-6.27E-08,1,ENSMUSG00000001323
Sync,-9.78E-07,1,ENSMUSG00000001333
Fndc5,-2.72E-06,1,ENSMUSG00000001334
Acp5,6.28E-07,0.973819245,ENSMUSG00000001348
Cnn1,-4.91E-07,1,ENSMUSG00000001349
Fbxo9,-1.24E-06,1,ENSMUSG00000001366
Vps50,-1.01E-06,1,ENSMUSG00000001376
Hars,-6.94E-07,1,ENSMUSG00000001380
Zmat2,-1.85E-06,1,ENSMUSG00000001383
Ube2c,6.50E-07,1,ENSMUSG00000001403
Smg5,-1.42E-06,1,ENSMUSG00000001415
Cct3,-4.95E-07,1,ENSMUSG00000001416
Glmp,-2.72E-07,1,ENSMUSG00000001418
Mef2d,1.50E-07,1,ENSMUSG00000001419
Tmem79,-2.39E-07,1,ENSMUSG00000001420
Snd1,1.50E-06,1,ENSMUSG00000001424
Col18a1,-5.56E-07,1,ENSMUSG00000001435
Slc19a1,-1.09E-06,1,ENSMUSG00000001436
Kpnb1,1.94E-06,1,ENSMUSG00000001440
Npepps,6.38E-07,1,ENSMUSG00000001441
Tbx21,-3.27E-07,1,ENSMUSG00000001444
Mrpl10,-2.23E-07,1,ENSMUSG00000001445
Cyp51,-1.24E-07,1,ENSMUSG00000001467
Tcf25,-7.27E-07,1,ENSMUSG00000001472
Tubb6,2.680153026,0.006315961,ENSMUSG00000001473
Def8,-3.31E-07,1,ENSMUSG00000001482
Meox1,-5.27E-07,1,ENSMUSG00000001493
Sost,9.39E-07,1,ENSMUSG00000001494
Pax9,1.19E-07,1,ENSMUSG00000001497
Col1a1,5.41E-07,1,ENSMUSG00000001506
Itga3,8.94E-07,1,ENSMUSG00000001507
Sgca,-1.65E-07,1,ENSMUSG00000001508
Dlx3,-1.93E-06,0.994645023,ENSMUSG00000001510
Foxm1,2.90E-07,1,ENSMUSG00000001517
Itfg2,-2.04E-06,1,ENSMUSG00000001518
Nrip2,-1.34E-06,1,ENSMUSG00000001520
Tulp3,4.01E-07,1,ENSMUSG00000001521
Gtf2h4,-1.29E-07,1,ENSMUSG00000001524
Tubb5,7.36E-06,1,ENSMUSG00000001525
Ell2,-1.96E-07,1,ENSMUSG00000001542
Jup,-2.65E-06,1,ENSMUSG00000001552
Fkbp10,-1.59E-07,1,ENSMUSG00000001555
Klhl10,-4.62E-07,1,ENSMUSG00000001558
Nom1,1.30E-07,1,ENSMUSG00000001569
Ergic1,-7.41E-07,1,ENSMUSG00000001576
Tnk1,1.55E-06,1,ENSMUSG00000001583
Acap1,1.52E-06,1,ENSMUSG00000001588
Tcea3,-6.01E-07,1,ENSMUSG00000001604
Ifrd1,6.12E-07,1,ENSMUSG00000001627
Stk38l,5.22E-06,1,ENSMUSG00000001630
Brpf1,-6.07E-07,1,ENSMUSG00000001632
Akr1b3,1.59E-06,1,ENSMUSG00000001642
Hoxc11,6.70E-07,1,ENSMUSG00000001656
Hoxc8,-7.64E-07,1,ENSMUSG00000001657
Hoxc6,-3.24E-06,1,ENSMUSG00000001661
Gstt1,-2.52E-06,1,ENSMUSG00000001663
Gstt3,9.16E-07,1,ENSMUSG00000001665
