symbol,LFC,FDR,ID
Gnai3,6.18E-07,1,ENSMUSG00000000001
Cdc45,-3.22E-07,1,ENSMUSG00000000028
H19,-7.51E-07,0.883360179,ENSMUSG00000000031
Scml2,-2.43E-06,0.655506544,ENSMUSG00000000037
Apoh,1.00E-06,1,ENSMUSG00000000049
Narf,-1.81E-06,1,ENSMUSG00000000056
Cav2,3.00E-07,1,ENSMUSG00000000058
Klf6,1.63E-06,1,ENSMUSG00000000078
Scmh1,-3.06E-07,1,ENSMUSG00000000085
Cox5a,3.00E-06,1,ENSMUSG00000000088
Tbx2,1.15E-06,1,ENSMUSG00000000093
Tbx4,9.00E-07,1,ENSMUSG00000000094
Ngfr,8.40E-07,1,ENSMUSG00000000120
Wnt3,1.80E-07,1,ENSMUSG00000000125
Wnt9a,8.04E-07,1,ENSMUSG00000000126
Fer,2.16E-07,1,ENSMUSG00000000127
Xpo6,-1.78E-06,1,ENSMUSG00000000131
Tfe3,8.10E-07,1,ENSMUSG00000000134
Axin2,-1.04E-06,1,ENSMUSG00000000142
Brat1,5.83E-08,1,ENSMUSG00000000148
Gna12,2.12E-06,1,ENSMUSG00000000149
Slc22a18,-3.69E-07,1,ENSMUSG00000000154
Itgb2l,2.83E-07,1,ENSMUSG00000000157
Igsf5,1.01E-07,1,ENSMUSG00000000159
Pih1d2,6.62E-08,1,ENSMUSG00000000167
Dlat,-1.06E-06,1,ENSMUSG00000000168
Sdhd,-3.06E-06,1,ENSMUSG00000000171
Fgf23,-8.30E-07,1,ENSMUSG00000000182
Fgf6,4.96E-07,1,ENSMUSG00000000183
Ccnd2,3.03E-07,1,ENSMUSG00000000184
Gpr107,7.64E-07,1,ENSMUSG00000000194
Nalcn,5.44E-07,1,ENSMUSG00000000197
Btbd17,1.82E-07,1,ENSMUSG00000000202
Th,-5.24E-07,1,ENSMUSG00000000214
Ins2,4.42E-07,1,ENSMUSG00000000215
Drp2,1.74E-07,1,ENSMUSG00000000223
Lhx2,-1.48E-06,1,ENSMUSG00000000247
Gmpr,2.97E-07,1,ENSMUSG00000000253
Glra1,-9.27E-08,1,ENSMUSG00000000263
Mid2,2.29E-06,1,ENSMUSG00000000266
Trim25,1.78E-06,1,ENSMUSG00000000275
Dgke,1.08E-06,1,ENSMUSG00000000276
Scpep1,4.91E-06,1,ENSMUSG00000000278
Mnt,5.63E-07,1,ENSMUSG00000000282
Itgb2,2.37E-07,1,ENSMUSG00000000290
Hddc2,-1.67E-07,1,ENSMUSG00000000295
Tpd52l1,-5.05E-08,1,ENSMUSG00000000296
Pemt,2.25E-06,1,ENSMUSG00000000301
Cdh1,9.75E-08,1,ENSMUSG00000000303
Cdh4,2.36E-06,1,ENSMUSG00000000305
Ckmt1,-2.17E-07,1,ENSMUSG00000000308
Bcl6b,4.94E-07,1,ENSMUSG00000000317
Clec10a,1.86E-07,1,ENSMUSG00000000318
NA,-6.46E-07,1,ENSMUSG00000000325
Comt,1.59E-07,1,ENSMUSG00000000326
Rtca,6.73E-07,1,ENSMUSG00000000339
Dbt,1.26E-06,1,ENSMUSG00000000340
Dazap2,-1.44E-05,0.90669274,ENSMUSG00000000346
Mcts1,2.49E-07,1,ENSMUSG00000000355
Rem1,1.25E-06,0.791193459,ENSMUSG00000000359
Rnf17,3.50E-07,1,ENSMUSG00000000365
Trappc10,2.21E-06,1,ENSMUSG00000000374
Ccm2,-5.56E-07,1,ENSMUSG00000000378
Tbrg4,-1.39E-07,1,ENSMUSG00000000384
Mx1,-1.68E-07,1,ENSMUSG00000000386
Fap,-6.80E-07,1,ENSMUSG00000000392
Gcg,-2.19E-07,1,ENSMUSG00000000394
Ndufa9,-1.62E-06,1,ENSMUSG00000000399
Egfl6,5.66E-07,1,ENSMUSG00000000402
Lck,-8.09E-07,1,ENSMUSG00000000409
Cttnbp2,1.90E-06,1,ENSMUSG00000000416
Galnt1,2.31E-06,1,ENSMUSG00000000420
Myf5,3.90E-07,1,ENSMUSG00000000435
Mkrn2,-9.67E-07,1,ENSMUSG00000000439
Pparg,1.83E-07,1,ENSMUSG00000000440
Raf1,-6.35E-07,1,ENSMUSG00000000441
Septin1,-1.36E-07,1,ENSMUSG00000000486
Pdgfb,9.74E-07,1,ENSMUSG00000000489
Acvrl1,2.44E-07,1,ENSMUSG00000000530
Tamalin,8.25E-07,0.927896724,ENSMUSG00000000531
Acvr1b,1.06E-06,1,ENSMUSG00000000532
Tom1l2,1.94E-06,1,ENSMUSG00000000538
Zfp385a,1.32E-06,1,ENSMUSG00000000552
Itga5,-4.35E-07,1,ENSMUSG00000000555
Gabra2,-1.06E-07,1,ENSMUSG00000000560
Wdr77,-5.17E-07,1,ENSMUSG00000000561
Atp5pb,-3.31E-06,1,ENSMUSG00000000563
Sox9,2.11E-06,0.111241503,ENSMUSG00000000567
Hnrnpd,7.91E-07,1,ENSMUSG00000000568
Dynlt1c,4.38E-06,1,ENSMUSG00000000579
