symbol,LFC,FDR,ID
Gnai3,0.005788452,1,ENSMUSG00000000001
Cdc45,-0.00394684,1,ENSMUSG00000000028
H19,0.000727641,1,ENSMUSG00000000031
Scml2,-0.0017061,1,ENSMUSG00000000037
Apoh,-0.012029789,1,ENSMUSG00000000049
Narf,-0.002997661,1,ENSMUSG00000000056
Cav2,-0.026744502,1,ENSMUSG00000000058
Klf6,2.290373951,3.73E-07,ENSMUSG00000000078
Scmh1,3.02E-05,1,ENSMUSG00000000085
Cox5a,0.130446205,0.436097684,ENSMUSG00000000088
Tbx2,0.008580314,1,ENSMUSG00000000093
Tbx4,-0.009965484,1,ENSMUSG00000000094
Ngfr,0.019784585,0.40649275,ENSMUSG00000000120
Wnt3,0.009918834,0.687967436,ENSMUSG00000000125
Wnt9a,0.002468386,1,ENSMUSG00000000126
Fer,-0.006748751,1,ENSMUSG00000000127
Xpo6,0.020315164,1,ENSMUSG00000000131
Tfe3,0.006214519,1,ENSMUSG00000000134
Axin2,-0.008773814,1,ENSMUSG00000000142
Brat1,-0.00144678,1,ENSMUSG00000000148
Gna12,-0.003671272,1,ENSMUSG00000000149
Slc22a18,-0.007008406,1,ENSMUSG00000000154
Itgb2l,-0.003240081,1,ENSMUSG00000000157
Igsf5,-0.000151575,1,ENSMUSG00000000159
Pih1d2,0.005000934,1,ENSMUSG00000000167
Dlat,-0.005359146,1,ENSMUSG00000000168
Sdhd,-0.028923544,1,ENSMUSG00000000171
Fgf23,-0.000658164,1,ENSMUSG00000000182
Fgf6,-0.005480762,1,ENSMUSG00000000183
Ccnd2,0.005230701,1,ENSMUSG00000000184
Gpr107,0.008138424,1,ENSMUSG00000000194
Nalcn,-0.00635665,1,ENSMUSG00000000197
Btbd17,-1.78E-05,1,ENSMUSG00000000202
Th,-4.194882459,0.000614434,ENSMUSG00000000214
Ins2,-0.000581113,1,ENSMUSG00000000215
Drp2,0.002051961,1,ENSMUSG00000000223
Lhx2,0.006322405,1,ENSMUSG00000000247
Gmpr,-0.010103499,1,ENSMUSG00000000253
Glra1,-0.003825918,1,ENSMUSG00000000263
Mid2,-0.004914247,1,ENSMUSG00000000266
Trim25,0.002458583,1,ENSMUSG00000000275
Dgke,0.002279565,1,ENSMUSG00000000276
Scpep1,1.871882788,9.44E-06,ENSMUSG00000000278
Mnt,0.005899813,1,ENSMUSG00000000282
Itgb2,0.004498897,1,ENSMUSG00000000290
Hddc2,-0.017397303,1,ENSMUSG00000000295
Tpd52l1,-0.011200119,0.688108862,ENSMUSG00000000296
Pemt,-0.013079982,1,ENSMUSG00000000301
Cdh1,-0.010352283,1,ENSMUSG00000000303
Cdh4,0.010236073,1,ENSMUSG00000000305
Ckmt1,-0.017389936,1,ENSMUSG00000000308
Bcl6b,-0.002900593,1,ENSMUSG00000000317
Clec10a,-0.003701471,1,ENSMUSG00000000318
NA,0.004326193,1,ENSMUSG00000000325
Comt,0.02060745,1,ENSMUSG00000000326
Rtca,-0.0102501,1,ENSMUSG00000000339
Dbt,-0.008427922,1,ENSMUSG00000000340
Dazap2,0.020378176,1,ENSMUSG00000000346
Mcts1,-0.013066489,1,ENSMUSG00000000355
Rem1,-0.005100163,1,ENSMUSG00000000359
Rnf17,0.001646638,1,ENSMUSG00000000365
Trappc10,0.01253007,1,ENSMUSG00000000374
Ccm2,-0.005202917,1,ENSMUSG00000000378
Tbrg4,0.002464721,1,ENSMUSG00000000384
Mx1,0.001914253,1,ENSMUSG00000000386
Fap,0.00035668,1,ENSMUSG00000000392
Gcg,0.001795006,1,ENSMUSG00000000394
Ndufa9,-0.020542328,1,ENSMUSG00000000399
Egfl6,-0.000572747,1,ENSMUSG00000000402
Lck,0.001571613,1,ENSMUSG00000000409
Cttnbp2,0.025874021,0.010182721,ENSMUSG00000000416
Galnt1,0.00836611,1,ENSMUSG00000000420
Myf5,-0.001631479,1,ENSMUSG00000000435
Mkrn2,-0.00053681,1,ENSMUSG00000000439
Pparg,0.004415601,1,ENSMUSG00000000440
Raf1,-0.002624116,1,ENSMUSG00000000441
Septin1,-0.002926431,1,ENSMUSG00000000486
Pdgfb,0.008260909,0.930883997,ENSMUSG00000000489
Acvrl1,0.000396914,1,ENSMUSG00000000530
Tamalin,0.003565968,1,ENSMUSG00000000531
Acvr1b,0.000873361,1,ENSMUSG00000000532
Tom1l2,0.012039496,1,ENSMUSG00000000538
Zfp385a,0.005824654,1,ENSMUSG00000000552
Itga5,0.003926039,1,ENSMUSG00000000555
Gabra2,0.001923716,1,ENSMUSG00000000560
Wdr77,-0.005609022,1,ENSMUSG00000000561
Atp5pb,-0.014415218,1,ENSMUSG00000000563
Sox9,0.013780454,0.291666595,ENSMUSG00000000567
