symbol,LFC,FDR,ID
Gnai3,2.60E-06,1,ENSMUSG00000000001
Cdc45,1.15E-06,1,ENSMUSG00000000028
H19,-1.01E-07,1,ENSMUSG00000000031
Scml2,7.42E-07,1,ENSMUSG00000000037
Apoh,-8.00E-07,1,ENSMUSG00000000049
Narf,-8.82E-07,1,ENSMUSG00000000056
Cav2,-1.93E-06,1,ENSMUSG00000000058
Klf6,5.51E-06,0.741306407,ENSMUSG00000000078
Scmh1,-7.57E-07,1,ENSMUSG00000000085
Cox5a,3.50E-06,1,ENSMUSG00000000088
Tbx2,1.82E-06,1,ENSMUSG00000000093
Tbx4,-1.01E-06,1,ENSMUSG00000000094
Ngfr,1.50E-06,1,ENSMUSG00000000120
Wnt3,7.65E-07,1,ENSMUSG00000000125
Wnt9a,1.26E-06,1,ENSMUSG00000000126
Fer,-6.43E-08,1,ENSMUSG00000000127
Xpo6,1.08E-06,1,ENSMUSG00000000131
Tfe3,8.64E-07,1,ENSMUSG00000000134
Axin2,-8.09E-09,1,ENSMUSG00000000142
Brat1,-7.02E-09,1,ENSMUSG00000000148
Gna12,5.25E-07,1,ENSMUSG00000000149
Slc22a18,-5.66E-07,1,ENSMUSG00000000154
Itgb2l,-3.25E-07,1,ENSMUSG00000000157
Igsf5,-2.20E-08,1,ENSMUSG00000000159
Pih1d2,-4.74E-07,1,ENSMUSG00000000167
Dlat,2.83E-07,1,ENSMUSG00000000168
Sdhd,-3.78E-06,1,ENSMUSG00000000171
Fgf23,-8.29E-07,1,ENSMUSG00000000182
Fgf6,4.06E-07,1,ENSMUSG00000000183
Ccnd2,2.31E-06,0.596058842,ENSMUSG00000000184
Gpr107,-3.20E-07,1,ENSMUSG00000000194
Nalcn,-5.25E-07,1,ENSMUSG00000000197
Btbd17,-5.01E-07,1,ENSMUSG00000000202
Th,-2.80E-06,0.000168429,ENSMUSG00000000214
Ins2,-3.15E-07,1,ENSMUSG00000000215
Drp2,6.97E-07,1,ENSMUSG00000000223
Lhx2,8.61E-07,1,ENSMUSG00000000247
Gmpr,-3.88E-07,1,ENSMUSG00000000253
Glra1,-1.11E-06,1,ENSMUSG00000000263
Mid2,1.41E-06,1,ENSMUSG00000000266
Trim25,3.74E-07,1,ENSMUSG00000000275
Dgke,1.76E-06,1,ENSMUSG00000000276
Scpep1,1.611560525,0.000234707,ENSMUSG00000000278
Mnt,3.62E-07,1,ENSMUSG00000000282
Itgb2,-5.01E-07,1,ENSMUSG00000000290
Hddc2,-1.87E-06,1,ENSMUSG00000000295
Tpd52l1,-1.25E-06,1,ENSMUSG00000000296
Pemt,3.84E-07,1,ENSMUSG00000000301
Cdh1,-7.12E-07,1,ENSMUSG00000000303
Cdh4,-3.32E-07,1,ENSMUSG00000000305
Ckmt1,-1.83E-06,1,ENSMUSG00000000308
Bcl6b,-1.19E-06,1,ENSMUSG00000000317
Clec10a,-5.02E-07,1,ENSMUSG00000000318
NA,6.82E-08,1,ENSMUSG00000000325
Comt,-1.96E-06,1,ENSMUSG00000000326
Rtca,-7.72E-07,1,ENSMUSG00000000339
Dbt,-8.66E-07,1,ENSMUSG00000000340
Dazap2,-5.88E-07,1,ENSMUSG00000000346
Mcts1,-2.81E-07,1,ENSMUSG00000000355
Rem1,-8.25E-07,1,ENSMUSG00000000359
Rnf17,1.38E-06,1,ENSMUSG00000000365
Trappc10,1.45E-06,1,ENSMUSG00000000374
Ccm2,-1.64E-06,1,ENSMUSG00000000378
Tbrg4,5.25E-08,1,ENSMUSG00000000384
Mx1,4.33E-07,1,ENSMUSG00000000386
Fap,9.71E-07,1,ENSMUSG00000000392
Gcg,-1.29E-07,1,ENSMUSG00000000394
Ndufa9,-2.85E-06,1,ENSMUSG00000000399
Egfl6,2.97E-07,1,ENSMUSG00000000402
Lck,-9.60E-08,1,ENSMUSG00000000409
Cttnbp2,2.50E-06,0.604296447,ENSMUSG00000000416
Galnt1,1.06E-06,1,ENSMUSG00000000420
Myf5,2.89E-07,1,ENSMUSG00000000435
Mkrn2,1.07E-06,1,ENSMUSG00000000439
Pparg,3.85E-07,1,ENSMUSG00000000440
Raf1,-9.74E-07,1,ENSMUSG00000000441
Septin1,-4.46E-07,1,ENSMUSG00000000486
