symbol,LCF,FDR,ID
Gnai3,0.0866965,1,ENSMUSG00000000001
Cdc45,-1.774665105,0.031536183,ENSMUSG00000000028
H19,0.001264384,1,ENSMUSG00000000031
Scml2,0.093721539,0.628194096,ENSMUSG00000000037
Apoh,-0.223166916,0.763942706,ENSMUSG00000000049
Narf,-0.095094433,1,ENSMUSG00000000056
Cav2,-0.052137043,1,ENSMUSG00000000058
Klf6,0.650823566,0.370847223,ENSMUSG00000000078
Scmh1,0.087571984,1,ENSMUSG00000000085
Cox5a,0.051150949,1,ENSMUSG00000000088
Tbx2,0.007387558,1,ENSMUSG00000000093
Tbx4,-0.122693531,0.159164141,ENSMUSG00000000094
Ngfr,0.000581348,1,ENSMUSG00000000120
Wnt3,-0.033429368,0.786539312,ENSMUSG00000000125
Wnt9a,0.095282696,0.759150413,ENSMUSG00000000126
Fer,-0.237451404,0.906911237,ENSMUSG00000000127
Xpo6,0.12717798,1,ENSMUSG00000000131
Tfe3,0.045972657,1,ENSMUSG00000000134
Axin2,0.13741321,0.610041383,ENSMUSG00000000142
Brat1,0.148265196,0.561778681,ENSMUSG00000000148
Gna12,-0.012628368,1,ENSMUSG00000000149
Slc22a18,-0.257581511,0.116813821,ENSMUSG00000000154
Itgb2l,0.004671953,1,ENSMUSG00000000157
Igsf5,-0.00129082,1,ENSMUSG00000000159
Pih1d2,-0.006564242,1,ENSMUSG00000000167
Dlat,-0.092966346,1,ENSMUSG00000000168
Sdhd,-0.098341095,1,ENSMUSG00000000171
Fgf23,-0.004381178,1,ENSMUSG00000000182
Fgf6,-0.015216771,1,ENSMUSG00000000183
Ccnd2,0.049044636,1,ENSMUSG00000000184
Gpr107,-0.016190938,1,ENSMUSG00000000194
Nalcn,-0.054934571,1,ENSMUSG00000000197
Btbd17,-0.069286087,0.27043582,ENSMUSG00000000202
Th,-0.049122616,1,ENSMUSG00000000214
Ins2,-0.005287395,1,ENSMUSG00000000215
Drp2,0.011032538,1,ENSMUSG00000000223
Lhx2,-0.006469836,0.903700351,ENSMUSG00000000247
Gmpr,-0.089568907,1,ENSMUSG00000000253
Glra1,0.000447837,0.916724511,ENSMUSG00000000263
Mid2,-0.136184939,0.855518174,ENSMUSG00000000266
Trim25,0.010504937,1,ENSMUSG00000000275
Dgke,0.124489721,1,ENSMUSG00000000276
Scpep1,0.308970983,1,ENSMUSG00000000278
Mnt,0.070602128,1,ENSMUSG00000000282
Itgb2,0.026283267,0.889795837,ENSMUSG00000000290
Hddc2,-0.065995898,1,ENSMUSG00000000295
Tpd52l1,-0.031357751,1,ENSMUSG00000000296
Pemt,0.015994473,1,ENSMUSG00000000301
Cdh1,-1.854508603,0.034575317,ENSMUSG00000000303
Cdh4,-0.15739557,0.577983235,ENSMUSG00000000305
Ckmt1,-0.26629742,0.900260276,ENSMUSG00000000308
Bcl6b,2.816803299,0.014566038,ENSMUSG00000000317
Clec10a,-0.1256591,0.744145225,ENSMUSG00000000318
NA,-0.085226606,1,ENSMUSG00000000325
Comt,0.16609131,1,ENSMUSG00000000326
Rtca,-0.173011213,1,ENSMUSG00000000339
Dbt,-0.104908159,1,ENSMUSG00000000340
Dazap2,0.034396405,1,ENSMUSG00000000346
Mcts1,-0.004211715,1,ENSMUSG00000000355
Rem1,0.160619324,0.109447851,ENSMUSG00000000359
Rnf17,0.066261544,0.704175723,ENSMUSG00000000365
Trappc10,-0.025605434,1,ENSMUSG00000000374
Ccm2,-0.019058594,1,ENSMUSG00000000378
