symbol,LFC,FDR,ID
Gnai3,0.072022255,0.847000394,ENSMUSG00000000001
Cdc45,0.00525106,1,ENSMUSG00000000028
H19,0.000154322,1,ENSMUSG00000000031
Scml2,0.001149691,1,ENSMUSG00000000037
Apoh,0.046828535,1,ENSMUSG00000000049
Narf,-0.028953653,1,ENSMUSG00000000056
Cav2,0.076161958,0.90025269,ENSMUSG00000000058
Klf6,0.023780846,1,ENSMUSG00000000078
Scmh1,-0.00859177,1,ENSMUSG00000000085
Cox5a,-0.006534483,1,ENSMUSG00000000088
Tbx2,0.043654483,0.422796905,ENSMUSG00000000093
Tbx4,-0.020974758,0.766297232,ENSMUSG00000000094
Ngfr,0.051937721,0.393700236,ENSMUSG00000000120
Wnt3,-0.035942108,0.101283902,ENSMUSG00000000125
Wnt9a,0.003300136,1,ENSMUSG00000000126
Fer,0.02637706,1,ENSMUSG00000000127
Xpo6,-0.049042512,1,ENSMUSG00000000131
Tfe3,0.018301589,1,ENSMUSG00000000134
Axin2,-0.016278345,1,ENSMUSG00000000142
Brat1,0.037754314,0.716969925,ENSMUSG00000000148
Gna12,0.033976051,1,ENSMUSG00000000149
Slc22a18,0.023306738,1,ENSMUSG00000000154
Itgb2l,-0.011065254,1,ENSMUSG00000000157
Igsf5,0.00077403,1,ENSMUSG00000000159
Pih1d2,-0.036269041,0.81171751,ENSMUSG00000000167
Dlat,0.009440204,1,ENSMUSG00000000168
Sdhd,-0.082968688,0.966711317,ENSMUSG00000000171
Fgf23,-0.015472409,0.735113037,ENSMUSG00000000182
Fgf6,-0.017942583,1,ENSMUSG00000000183
Ccnd2,-0.018023718,1,ENSMUSG00000000184
Gpr107,0.076527646,0.717643506,ENSMUSG00000000194
Nalcn,0.024936207,1,ENSMUSG00000000197
Btbd17,0.004789209,0.976272119,ENSMUSG00000000202
Th,0.001805049,1,ENSMUSG00000000214
Ins2,0.005857653,1,ENSMUSG00000000215
Drp2,-0.0004257,1,ENSMUSG00000000223
Lhx2,2.731803738,0.019090312,ENSMUSG00000000247
Gmpr,-0.035127243,1,ENSMUSG00000000253
Glra1,-0.029502855,0.51189264,ENSMUSG00000000263
Mid2,0.009301392,1,ENSMUSG00000000266
Trim25,0.045781379,0.597348534,ENSMUSG00000000275
Dgke,-0.00359509,1,ENSMUSG00000000276
Scpep1,0.102839042,0.809634433,ENSMUSG00000000278
Mnt,-0.030604689,1,ENSMUSG00000000282
Itgb2,-0.013792379,0.545844337,ENSMUSG00000000290
Hddc2,0.01736618,1,ENSMUSG00000000295
Tpd52l1,0.001091058,1,ENSMUSG00000000296
