symbol,LFC,FDR,ID
Gnai3,-0.034283222,0.78421849,ENSMUSG00000000001
Cdc45,-0.032594583,1,ENSMUSG00000000028
H19,-0.001713944,0.860437756,ENSMUSG00000000031
Scml2,0.352235515,1,ENSMUSG00000000037
Apoh,-0.321269999,0.730215095,ENSMUSG00000000049
Narf,0.702857984,0.321780191,ENSMUSG00000000056
Cav2,-0.06946691,0.758337022,ENSMUSG00000000058
Klf6,0.049929901,0.938430667,ENSMUSG00000000078
Scmh1,0.469591635,0.5907142,ENSMUSG00000000085
Cox5a,-0.034527585,1,ENSMUSG00000000088
Tbx2,-0.133392141,0.940144404,ENSMUSG00000000093
Tbx4,-0.333218405,1,ENSMUSG00000000094
Ngfr,2.087436514,0.000722688,ENSMUSG00000000120
Wnt3,0.004087834,1,ENSMUSG00000000125
Wnt9a,3.242413616,0.000121117,ENSMUSG00000000126
Fer,0.99570306,0.051893596,ENSMUSG00000000127
Xpo6,-0.554066234,0.297112011,ENSMUSG00000000131
Tfe3,-1.077645916,0.087570105,ENSMUSG00000000134
Axin2,-0.5311377,0.503433465,ENSMUSG00000000142
Brat1,-0.364834146,0.673199409,ENSMUSG00000000148
Gna12,0.73409415,0.223178752,ENSMUSG00000000149
Slc22a18,-0.037489447,1,ENSMUSG00000000154
Itgb2l,-0.050013769,1,ENSMUSG00000000157
Igsf5,-0.015345528,1,ENSMUSG00000000159
Pih1d2,-0.167418068,1,ENSMUSG00000000167
Dlat,-0.900491665,0.082188716,ENSMUSG00000000168
Sdhd,0.169242339,0.663268747,ENSMUSG00000000171
Fgf23,-0.005623791,1,ENSMUSG00000000182
Fgf6,1.826632978,1,ENSMUSG00000000183
Ccnd2,-0.50432004,0.491644234,ENSMUSG00000000184
Gpr107,-0.183536735,0.746354884,ENSMUSG00000000194
Nalcn,-0.760608334,0.217341661,ENSMUSG00000000197
Btbd17,-0.786706856,0.028238974,ENSMUSG00000000202
Th,-0.060369321,0.922472013,ENSMUSG00000000214
Ins2,0.174029937,1,ENSMUSG00000000215
Drp2,-0.000752019,1,ENSMUSG00000000223
Lhx2,-0.189940101,1,ENSMUSG00000000247
Gmpr,-0.410559696,0.479969154,ENSMUSG00000000253
Glra1,0.416098422,1,ENSMUSG00000000263
Mid2,0.880038268,0.206344864,ENSMUSG00000000266
Trim25,-0.802549555,0.261433296,ENSMUSG00000000275
Dgke,-0.491089316,0.566498296,ENSMUSG00000000276
Scpep1,0.1566475,0.743779677,ENSMUSG00000000278
Mnt,-1.924605927,0.002527437,ENSMUSG00000000282
Itgb2,-0.644057892,0.031130037,ENSMUSG00000000290
Hddc2,0.167981311,0.665818862,ENSMUSG00000000295
Tpd52l1,0.129993149,0.914466257,ENSMUSG00000000296
Pemt,-0.033205141,1,ENSMUSG00000000301
Cdh1,0.120350361,0.810683276,ENSMUSG00000000303
Cdh4,0.06204965,1,ENSMUSG00000000305
Ckmt1,-0.01426442,0.897114112,ENSMUSG00000000308
Bcl6b,0.358009749,0.768925986,ENSMUSG00000000317
Clec10a,0.126487263,0.963719967,ENSMUSG00000000318
NA,-1.581588362,0.008332665,ENSMUSG00000000325
